"","Viv1","Viv2","Viv3","Hfd1","Hfd2","Hfd3"
"ENSMUSG00000069893",15,10,19,22,7,25
"ENSMUSG00000040328",2,1,1,0,1,0
"ENSMUSG00000078922",62,45,38,31,62,23
"ENSMUSG00000084153",188,124,169,167,182,164
"ENSMUSG00000069892",44,20,23,46,18,45
"ENSMUSG00000078921",59,39,35,42,81,30
"ENSMUSG00000083178",0,0,0,0,0,1
"ENSMUSG00000078920",678,331,362,274,348,231
"ENSMUSG00000082116",3,3,4,2,6,4
"ENSMUSG00000047511",3,4,4,0,3,5
"ENSMUSG00000050763",0,0,0,0,0,0
"ENSMUSG00000048378",0,0,0,0,0,0
"ENSMUSG00000040283",185,125,204,207,167,238
"ENSMUSG00000046311",401,302,319,270,271,340
"ENSMUSG00000020346",1596,1045,1354,1295,1507,1511
"ENSMUSG00000059864",1,3,0,1,2,0
"ENSMUSG00000050959",0,0,0,0,0,1
"ENSMUSG00000057168",0,0,0,0,0,0
"ENSMUSG00000044373",0,0,0,0,0,0
"ENSMUSG00000045421",0,0,0,0,0,0
"ENSMUSG00000084278",0,0,0,0,0,0
"ENSMUSG00000046575",0,0,0,0,0,0
"ENSMUSG00000047702",0,0,0,0,0,0
"ENSMUSG00000063386",0,0,0,0,0,0
"ENSMUSG00000062285",0,0,0,0,0,0
"ENSMUSG00000059729",0,0,0,0,0,0
"ENSMUSG00000044170",1,0,0,0,0,0
"ENSMUSG00000057767",0,0,0,1,0,0
"ENSMUSG00000063827",0,0,0,0,0,0
"ENSMUSG00000090587",0,0,0,0,0,0
"ENSMUSG00000091308",0,0,0,0,0,0
"ENSMUSG00000069890",0,0,0,0,0,0
"ENSMUSG00000081791",6,3,13,6,6,11
"ENSMUSG00000020357",678,341,676,631,667,861
"ENSMUSG00000064057",1,2,1,0,2,0
"ENSMUSG00000020362",1292,654,839,915,760,1069
"ENSMUSG00000083061",323,247,277,202,267,214
"ENSMUSG00000081570",18,21,25,16,17,18
"ENSMUSG00000092894",0,0,0,0,0,0
"ENSMUSG00000081934",3,3,8,5,6,2
"ENSMUSG00000020363",6,7,15,11,20,18
"ENSMUSG00000020366",1789,1009,1398,1350,1270,1529
"ENSMUSG00000080487",0,0,0,0,0,0
"ENSMUSG00000020374",0,0,0,0,0,0
"ENSMUSG00000020376",2272,1558,1947,1682,1728,1943
"ENSMUSG00000065417",0,0,0,0,0,0
"ENSMUSG00000084302",28,22,18,29,29,24
"ENSMUSG00000036644",2083,1155,1777,1291,1295,1519
"ENSMUSG00000085192",2,2,3,9,9,9
"ENSMUSG00000020381",106,76,92,66,102,110
"ENSMUSG00000015837",9932,6884,8845,8295,8955,8746
"ENSMUSG00000036620",712,457,632,840,931,937
"ENSMUSG00000020377",4,2,3,2,4,2
"ENSMUSG00000085364",2,1,1,0,1,2
"ENSMUSG00000050567",367,254,413,239,269,312
"ENSMUSG00000020368",10236,6945,9328,7978,9842,9877
"ENSMUSG00000082545",3,0,1,0,1,4
"ENSMUSG00000050087",0,0,0,0,0,0
"ENSMUSG00000076450",0,0,0,0,0,0
"ENSMUSG00000007850",1412,947,1051,853,1029,1115
"ENSMUSG00000020375",564,365,511,540,582,545
"ENSMUSG00000081311",0,1,0,0,0,0
"ENSMUSG00000089366",0,0,0,0,0,0
"ENSMUSG00000085564",0,0,0,1,1,0
"ENSMUSG00000036545",50,39,51,173,206,173
"ENSMUSG00000087080",0,0,0,0,0,0
"ENSMUSG00000085902",0,0,0,0,0,0
"ENSMUSG00000088205",0,0,0,0,0,0
"ENSMUSG00000044807",14,16,14,22,20,23
"ENSMUSG00000044296",21,9,13,13,5,18
"ENSMUSG00000000617",0,1,0,0,0,1
"ENSMUSG00000086226",0,0,0,0,0,0
"ENSMUSG00000048728",30,18,16,18,23,24
"ENSMUSG00000049321",139,97,122,103,111,100
"ENSMUSG00000020335",65,35,52,36,43,46
"ENSMUSG00000072983",0,0,0,0,0,0
"ENSMUSG00000051192",0,0,0,0,0,0
"ENSMUSG00000044542",0,0,0,0,0,0
"ENSMUSG00000083542",0,0,0,0,0,0
"ENSMUSG00000050343",0,0,0,0,0,0
"ENSMUSG00000082074",0,0,0,0,0,0
"ENSMUSG00000061952",0,0,0,0,0,0
"ENSMUSG00000083825",0,0,0,0,0,0
"ENSMUSG00000060918",0,0,0,0,0,0
"ENSMUSG00000059397",0,0,0,0,0,0
"ENSMUSG00000057890",0,0,0,0,0,0
"ENSMUSG00000020364",103,74,101,63,77,90
"ENSMUSG00000072982",0,0,0,0,0,0
"ENSMUSG00000080918",0,0,0,0,0,0
"ENSMUSG00000083156",60,31,64,33,40,31
"ENSMUSG00000083312",0,0,0,0,0,0
"ENSMUSG00000081296",0,0,0,0,0,0
"ENSMUSG00000086646",0,0,0,0,0,0
"ENSMUSG00000061469",0,0,0,0,0,0
"ENSMUSG00000045942",12,3,5,4,9,7
"ENSMUSG00000020385",759,654,493,443,533,556
"ENSMUSG00000093734",12,3,1,4,2,10
"ENSMUSG00000063564",7,3,8,12,11,12
"ENSMUSG00000020359",351,200,220,267,275,316
"ENSMUSG00000020358",2210,1273,1807,1667,1747,1684
"ENSMUSG00000001056",429,322,324,379,406,327
"ENSMUSG00000001054",381,174,264,289,301,300
"ENSMUSG00000001053",74,41,114,53,118,84
"ENSMUSG00000052563",131,121,125,61,160,116
"ENSMUSG00000007777",518,348,399,308,387,434
"ENSMUSG00000036391",2725,1382,2310,2307,2100,2746
"ENSMUSG00000084744",1,2,4,4,2,3
"ENSMUSG00000020386",5179,3939,4473,4665,4557,5054
"ENSMUSG00000020387",216,122,356,195,292,292
"ENSMUSG00000087101",1,0,0,1,0,0
"ENSMUSG00000093325",0,0,0,0,0,0
"ENSMUSG00000020392",263,160,260,225,235,206
"ENSMUSG00000020390",2242,1659,2203,1627,1638,1891
"ENSMUSG00000086493",0,0,0,0,0,1
"ENSMUSG00000020389",4,2,7,8,11,11
"ENSMUSG00000084800",0,0,0,1,1,0
"ENSMUSG00000020349",3002,1720,2486,2355,2514,2621
"ENSMUSG00000093006",0,0,0,0,0,0
"ENSMUSG00000092028",0,0,0,0,0,0
"ENSMUSG00000092870",0,0,0,0,0,0
"ENSMUSG00000062204",0,0,0,0,0,0
"ENSMUSG00000084141",3,2,2,2,3,4
"ENSMUSG00000083175",0,0,0,0,0,0
"ENSMUSG00000060170",0,0,0,0,0,1
"ENSMUSG00000036309",4774,3259,3664,3942,4402,4655
"ENSMUSG00000086920",5,1,1,1,1,1
"ENSMUSG00000000782",96,56,88,113,94,106
"ENSMUSG00000086395",0,1,0,0,1,5
"ENSMUSG00000020402",4061,2603,3646,3129,3437,3475
"ENSMUSG00000036275",3695,2367,3299,2338,2434,2606
"ENSMUSG00000080951",2,1,0,1,0,0
"ENSMUSG00000081297",0,0,0,0,0,0
"ENSMUSG00000083129",0,0,0,0,0,0
"ENSMUSG00000083442",0,0,0,0,0,0
"ENSMUSG00000036264",0,1,2,0,1,2
"ENSMUSG00000087668",0,0,0,0,0,0
"ENSMUSG00000058073",44,39,38,39,51,45
"ENSMUSG00000020361",3913,2429,3439,2681,3117,2917
"ENSMUSG00000018239",51,57,60,40,43,66
"ENSMUSG00000082263",0,0,0,0,0,0
"ENSMUSG00000049470",2672,1417,2786,1807,1369,2141
"ENSMUSG00000064719",0,0,0,0,0,0
"ENSMUSG00000036216",1886,1056,1259,1855,2212,2330
"ENSMUSG00000044894",4398,3127,3585,3766,3458,3810
"ENSMUSG00000018238",10,9,20,1,15,12
"ENSMUSG00000072963",13,16,5,33,12,30
"ENSMUSG00000018387",558,341,532,417,575,575
"ENSMUSG00000085707",2,2,0,0,0,1
"ENSMUSG00000049427",4,3,2,0,4,2
"ENSMUSG00000044352",2,3,6,0,1,3
"ENSMUSG00000054450",0,0,0,0,1,0
"ENSMUSG00000085718",42,31,30,23,38,35
"ENSMUSG00000018398",93,65,89,138,139,147
"ENSMUSG00000086851",0,0,0,0,0,0
"ENSMUSG00000018395",102,69,114,122,144,132
"ENSMUSG00000000869",1,0,3,0,0,0
"ENSMUSG00000020383",0,0,0,0,0,1
"ENSMUSG00000084373",72,50,42,62,54,58
"ENSMUSG00000020380",223,148,246,224,180,228
"ENSMUSG00000084419",1,0,0,0,0,0
"ENSMUSG00000036117",0,0,0,0,0,0
"ENSMUSG00000086595",0,0,0,0,0,0
"ENSMUSG00000083986",0,0,0,0,0,0
"ENSMUSG00000018899",589,316,718,382,565,460
"ENSMUSG00000091191",1,2,2,2,1,1
"ENSMUSG00000081769",12,6,13,11,11,5
"ENSMUSG00000078860",0,0,0,0,0,0
"ENSMUSG00000018900",472,366,455,308,281,384
"ENSMUSG00000082271",6,8,6,3,3,3
"ENSMUSG00000082380",108,69,128,67,95,67
"ENSMUSG00000081098",0,0,0,1,0,0
"ENSMUSG00000063652",40,19,52,23,26,27
"ENSMUSG00000080768",44,28,47,43,38,32
"ENSMUSG00000020334",82,56,82,28,37,34
"ENSMUSG00000020388",27,8,13,23,20,17
"ENSMUSG00000018906",126,54,157,100,137,109
"ENSMUSG00000036045",24,14,23,13,24,24
"ENSMUSG00000086209",0,0,0,0,0,0
"ENSMUSG00000060068",1041,632,721,714,759,825
"ENSMUSG00000018916",0,0,0,0,0,0
"ENSMUSG00000085585",0,0,0,0,0,0
"ENSMUSG00000018914",0,0,0,0,0,0
"ENSMUSG00000020333",9,3,15,1,1,1
"ENSMUSG00000085888",2,0,3,0,0,0
"ENSMUSG00000020332",0,0,0,0,0,0
"ENSMUSG00000078151",120,101,106,78,97,119
"ENSMUSG00000084212",8,3,4,4,5,6
"ENSMUSG00000035992",810,636,1178,907,632,1237
"ENSMUSG00000088437",0,0,0,0,0,0
"ENSMUSG00000037533",541,327,547,427,313,453
"ENSMUSG00000093341",0,0,0,0,0,0
"ENSMUSG00000052298",359,208,310,282,333,305
"ENSMUSG00000086039",1,0,0,0,0,1
"ENSMUSG00000082503",21,19,12,18,17,34
"ENSMUSG00000086789",0,0,0,0,0,0
"ENSMUSG00000020268",38,35,38,40,47,39
"ENSMUSG00000088231",0,0,0,0,0,0
"ENSMUSG00000020267",3831,3110,3426,2778,2770,3072
"ENSMUSG00000018339",69,67,89,121,173,117
"ENSMUSG00000020400",235,125,200,251,283,233
"ENSMUSG00000082180",26,22,24,11,21,18
"ENSMUSG00000018340",2690,1873,2451,2202,2809,2190
"ENSMUSG00000049588",10,2,1,6,7,6
"ENSMUSG00000000594",2293,1651,1926,1492,2145,1723
"ENSMUSG00000044751",1609,1161,1350,1124,1360,1487
"ENSMUSG00000080738",29044,40797,65246,9564,28028,19368
"ENSMUSG00000049491",0,0,0,0,0,1
"ENSMUSG00000085531",0,0,0,0,0,0
"ENSMUSG00000020264",1,1,2,0,0,1
"ENSMUSG00000084980",0,0,0,0,0,0
"ENSMUSG00000020261",896,417,771,548,503,588
"ENSMUSG00000055333",0,0,0,0,0,0
"ENSMUSG00000082257",0,0,0,0,0,0
"ENSMUSG00000018593",989,572,798,1583,1733,1581
"ENSMUSG00000018585",2101,1338,1600,2094,2115,2167
"ENSMUSG00000081107",1,1,0,0,0,1
"ENSMUSG00000018583",880,547,688,625,711,638
"ENSMUSG00000065061",0,0,0,0,0,0
"ENSMUSG00000087342",0,0,0,0,0,0
"ENSMUSG00000000263",0,0,0,0,0,0
"ENSMUSG00000086460",0,0,0,0,0,0
"ENSMUSG00000083363",0,0,0,0,0,0
"ENSMUSG00000086020",0,0,0,0,0,0
"ENSMUSG00000037393",0,0,0,0,0,0
"ENSMUSG00000084169",0,0,0,1,0,0
"ENSMUSG00000065635",0,0,0,0,0,0
"ENSMUSG00000081749",0,0,0,0,0,0
"ENSMUSG00000088228",0,0,0,0,0,0
"ENSMUSG00000020524",0,0,0,1,0,0
"ENSMUSG00000082476",179,148,167,125,161,143
"ENSMUSG00000020523",1075,663,966,777,852,841
"ENSMUSG00000020522",394,220,306,283,262,335
"ENSMUSG00000086028",0,0,0,0,0,0
"ENSMUSG00000085719",0,0,0,0,0,0
"ENSMUSG00000020520",242,133,198,265,251,272
"ENSMUSG00000086933",0,0,0,0,0,0
"ENSMUSG00000077155",0,0,0,0,0,0
"ENSMUSG00000065806",0,0,0,0,0,0
"ENSMUSG00000087165",58,43,56,35,31,39
"ENSMUSG00000020519",420,337,416,306,328,368
"ENSMUSG00000037335",0,0,0,0,0,0
"ENSMUSG00000078855",0,0,0,0,0,0
"ENSMUSG00000084223",24,16,18,12,18,13
"ENSMUSG00000083657",0,0,1,2,0,1
"ENSMUSG00000089280",0,0,0,0,0,0
"ENSMUSG00000086666",1,3,1,0,0,0
"ENSMUSG00000037331",3730,2258,3255,2269,2506,2969
"ENSMUSG00000086962",0,0,1,0,1,0
"ENSMUSG00000081223",60,42,54,43,49,50
"ENSMUSG00000020515",868,572,791,509,731,681
"ENSMUSG00000037275",290,150,238,210,229,200
"ENSMUSG00000087629",0,0,2,0,0,0
"ENSMUSG00000020514",332,200,238,189,234,201
"ENSMUSG00000082292",51,28,30,48,58,45
"ENSMUSG00000078853",663,368,307,532,691,343
"ENSMUSG00000069874",998,646,707,694,841,751
"ENSMUSG00000069873",0,0,0,0,0,2
"ENSMUSG00000037243",121,92,93,71,109,84
"ENSMUSG00000049755",299,141,207,214,228,204
"ENSMUSG00000087347",2,3,3,0,2,3
"ENSMUSG00000053218",13,3,7,13,4,13
"ENSMUSG00000013646",434,276,402,329,396,447
"ENSMUSG00000088382",0,0,0,0,0,0
"ENSMUSG00000013643",0,0,0,0,0,0
"ENSMUSG00000084384",781,503,645,466,594,544
"ENSMUSG00000082181",2,0,1,1,1,3
"ENSMUSG00000013653",0,0,0,0,0,0
"ENSMUSG00000058287",0,0,0,0,0,0
"ENSMUSG00000052642",0,0,0,0,0,0
"ENSMUSG00000043314",0,0,0,0,0,0
"ENSMUSG00000081287",0,0,0,0,0,0
"ENSMUSG00000050813",0,0,0,0,0,0
"ENSMUSG00000058807",0,0,0,0,0,0
"ENSMUSG00000085342",591,508,679,409,521,468
"ENSMUSG00000050818",0,0,0,0,0,0
"ENSMUSG00000083501",0,0,0,0,0,0
"ENSMUSG00000064252",0,0,0,0,0,0
"ENSMUSG00000057654",0,0,0,0,0,0
"ENSMUSG00000059279",0,0,0,0,0,0
"ENSMUSG00000060765",0,0,0,0,0,0
"ENSMUSG00000056564",0,0,0,0,0,0
"ENSMUSG00000037145",0,0,0,0,0,0
"ENSMUSG00000043880",0,0,0,0,0,0
"ENSMUSG00000037124",0,0,0,0,0,0
"ENSMUSG00000088222",0,0,0,0,0,0
"ENSMUSG00000063549",0,0,0,0,0,0
"ENSMUSG00000061344",0,0,0,0,0,0
"ENSMUSG00000082495",8,5,8,4,1,2
"ENSMUSG00000064044",0,0,0,0,0,0
"ENSMUSG00000058222",0,0,0,0,0,0
"ENSMUSG00000060030",0,0,0,0,0,0
"ENSMUSG00000061835",0,0,0,0,0,0
"ENSMUSG00000056959",0,0,0,0,0,0
"ENSMUSG00000059504",0,0,0,0,0,0
"ENSMUSG00000049154",0,0,1,0,1,0
"ENSMUSG00000070438",0,0,0,0,0,0
"ENSMUSG00000070437",0,0,0,0,0,0
"ENSMUSG00000070435",0,0,0,0,0,0
"ENSMUSG00000068869",12,4,8,2,2,2
"ENSMUSG00000072915",28,26,23,12,13,15
"ENSMUSG00000085744",0,0,0,0,0,0
"ENSMUSG00000020491",61,44,63,50,44,67
"ENSMUSG00000037001",147,51,127,73,85,81
"ENSMUSG00000087654",0,0,0,0,0,0
"ENSMUSG00000086063",1,0,0,1,1,0
"ENSMUSG00000020490",0,0,0,0,0,0
"ENSMUSG00000020496",2396,1526,2128,1730,1950,1950
"ENSMUSG00000056895",18,15,9,3,10,12
"ENSMUSG00000080712",1,5,6,6,4,6
"ENSMUSG00000036964",6,3,3,0,2,0
"ENSMUSG00000078851",31,21,29,19,12,14
"ENSMUSG00000080152",0,0,0,0,0,0
"ENSMUSG00000085379",9,7,4,10,6,14
"ENSMUSG00000020455",305,193,320,223,249,287
"ENSMUSG00000061462",2,0,0,1,4,2
"ENSMUSG00000072902",0,0,0,0,0,0
"ENSMUSG00000049287",388,280,319,288,294,264
"ENSMUSG00000043448",6,7,7,16,22,12
"ENSMUSG00000020444",853,601,672,777,817,752
"ENSMUSG00000085882",154,100,131,128,109,150
"ENSMUSG00000036860",352,213,261,261,274,262
"ENSMUSG00000072898",0,0,1,0,0,0
"ENSMUSG00000020441",75,51,71,55,65,63
"ENSMUSG00000048076",3738,2267,3081,3024,3394,3252
"ENSMUSG00000009900",0,0,0,0,0,0
"ENSMUSG00000000126",12,5,18,10,14,15
"ENSMUSG00000093572",0,0,0,0,0,0
"ENSMUSG00000049291",0,0,0,0,0,0
"ENSMUSG00000086910",0,0,0,0,0,0
"ENSMUSG00000009894",1811,994,1302,853,1240,1101
"ENSMUSG00000036819",196,103,174,133,123,170
"ENSMUSG00000054519",105,64,117,70,80,88
"ENSMUSG00000084145",155,104,123,118,110,181
"ENSMUSG00000083234",0,0,0,0,0,0
"ENSMUSG00000020472",510,298,492,325,285,398
"ENSMUSG00000072893",45,43,40,32,45,48
"ENSMUSG00000032691",33,24,28,22,30,32
"ENSMUSG00000059610",0,1,0,0,0,0
"ENSMUSG00000081262",4,6,3,1,4,3
"ENSMUSG00000048919",0,0,0,0,0,0
"ENSMUSG00000044061",0,0,0,0,0,0
"ENSMUSG00000005417",2155,1346,1961,1521,1803,2041
"ENSMUSG00000086330",1,1,0,0,1,0
"ENSMUSG00000086536",4,1,5,2,4,0
"ENSMUSG00000043648",14,11,15,17,16,13
"ENSMUSG00000032633",572,488,923,699,660,916
"ENSMUSG00000087249",8,11,14,7,16,15
"ENSMUSG00000088950",0,0,0,0,0,0
"ENSMUSG00000019373",877,556,691,509,643,623
"ENSMUSG00000032615",225,109,159,178,216,175
"ENSMUSG00000084766",0,0,0,0,0,0
"ENSMUSG00000085551",0,0,0,0,0,0
"ENSMUSG00000085260",0,1,0,0,0,0
"ENSMUSG00000061650",178,98,152,143,158,146
"ENSMUSG00000049892",4,4,6,14,3,11
"ENSMUSG00000000301",6836,4533,5597,5544,5594,5609
"ENSMUSG00000062115",214,108,240,173,173,196
"ENSMUSG00000051008",4,4,2,0,2,5
"ENSMUSG00000020538",3901,1739,3039,4307,8945,5634
"ENSMUSG00000000538",693,339,648,857,822,866
"ENSMUSG00000085132",2,0,4,12,16,5
"ENSMUSG00000082148",1,0,0,0,0,0
"ENSMUSG00000056598",5,2,7,9,6,5
"ENSMUSG00000042709",408,242,318,300,362,362
"ENSMUSG00000018415",1386,725,1090,927,994,1239
"ENSMUSG00000083412",0,0,0,0,0,0
"ENSMUSG00000084249",85,68,55,62,87,78
"ENSMUSG00000020537",719,479,578,482,614,595
"ENSMUSG00000042678",0,0,0,0,1,0
"ENSMUSG00000042650",2579,1448,2620,2065,1986,2509
"ENSMUSG00000081808",266,139,105,201,228,155
"ENSMUSG00000084273",0,0,0,0,0,0
"ENSMUSG00000090281",0,0,0,0,0,0
"ENSMUSG00000081754",5,2,3,1,3,6
"ENSMUSG00000082105",0,0,0,0,0,0
"ENSMUSG00000082525",0,0,0,0,0,0
"ENSMUSG00000081203",0,0,0,0,0,0
"ENSMUSG00000082753",0,2,0,0,0,0
"ENSMUSG00000082904",0,0,0,0,0,0
"ENSMUSG00000081753",1,0,0,0,0,0
"ENSMUSG00000083259",0,0,0,0,0,0
"ENSMUSG00000084335",0,0,0,0,0,0
"ENSMUSG00000082131",0,0,0,0,0,1
"ENSMUSG00000050667",3,1,1,1,2,4
"ENSMUSG00000082748",0,0,0,1,0,0
"ENSMUSG00000081472",3,1,2,4,4,1
"ENSMUSG00000084034",1,0,0,0,0,1
"ENSMUSG00000020536",193,95,201,137,175,170
"ENSMUSG00000002812",1397,748,1156,1025,1199,1275
"ENSMUSG00000018599",467,306,455,294,477,367
"ENSMUSG00000092734",0,1,0,0,0,0
"ENSMUSG00000089581",0,0,0,0,0,0
"ENSMUSG00000002814",148,80,174,110,139,140
"ENSMUSG00000049323",798,421,1028,621,565,730
"ENSMUSG00000020534",4198,2847,3283,3845,3783,3695
"ENSMUSG00000088956",0,1,2,1,0,0
"ENSMUSG00000081578",3,1,3,15,8,12
"ENSMUSG00000083394",14,9,9,13,9,6
"ENSMUSG00000042569",671,370,573,646,590,617
"ENSMUSG00000043284",479,334,444,396,427,400
"ENSMUSG00000091753",2,1,2,2,3,2
"ENSMUSG00000018931",179,95,205,221,193,276
"ENSMUSG00000042549",28,14,30,18,19,29
"ENSMUSG00000018932",1393,783,1258,994,1127,1039
"ENSMUSG00000042529",0,0,0,0,0,0
"ENSMUSG00000010142",3,1,3,1,8,5
"ENSMUSG00000080912",4,4,3,1,2,0
"ENSMUSG00000042506",730,331,523,732,648,721
"ENSMUSG00000082626",166,129,142,97,126,146
"ENSMUSG00000019102",1,0,1,0,1,0
"ENSMUSG00000010025",12776,7523,8022,15616,14956,17214
"ENSMUSG00000069855",5,1,6,1,0,8
"ENSMUSG00000064718",0,0,0,0,0,0
"ENSMUSG00000010122",3259,1760,2409,2291,2043,2412
"ENSMUSG00000082032",57,48,42,51,47,46
"ENSMUSG00000010086",0,0,0,0,0,0
"ENSMUSG00000042436",7,6,9,13,24,13
"ENSMUSG00000001034",58,25,41,60,57,58
"ENSMUSG00000060808",0,0,0,0,0,0
"ENSMUSG00000001039",5,8,3,9,7,6
"ENSMUSG00000001036",177,117,181,177,207,187
"ENSMUSG00000085459",0,0,0,0,0,0
"ENSMUSG00000004837",104,58,95,88,91,97
"ENSMUSG00000042371",0,1,0,0,1,0
"ENSMUSG00000042377",33,26,47,44,47,53
"ENSMUSG00000020528",165,101,148,99,118,126
"ENSMUSG00000004798",2740,1607,2698,1408,1695,1916
"ENSMUSG00000072847",104,68,95,91,107,132
"ENSMUSG00000047804",338,183,331,283,238,347
"ENSMUSG00000064939",0,0,1,0,0,0
"ENSMUSG00000084805",0,0,0,0,0,0
"ENSMUSG00000042331",37,23,38,54,43,41
"ENSMUSG00000083212",2,2,1,1,4,2
"ENSMUSG00000018500",0,0,1,3,1,0
"ENSMUSG00000014243",217,137,129,200,182,184
"ENSMUSG00000042298",409,211,348,354,341,358
"ENSMUSG00000081340",0,2,1,1,0,1
"ENSMUSG00000018501",2985,1720,2924,2282,1712,2790
"ENSMUSG00000081944",10,6,7,6,9,8
"ENSMUSG00000014245",129,96,108,80,104,143
"ENSMUSG00000086310",0,0,0,0,0,0
"ENSMUSG00000086636",0,0,0,0,0,0
"ENSMUSG00000018509",297,225,273,248,263,288
"ENSMUSG00000087120",3,3,5,1,2,6
"ENSMUSG00000019505",3532,2227,3599,2283,3235,3058
"ENSMUSG00000085748",0,0,0,0,0,1
"ENSMUSG00000018507",21,28,34,54,39,42
"ENSMUSG00000086841",205,176,167,173,155,158
"ENSMUSG00000064437",3,0,0,0,1,1
"ENSMUSG00000065734",2,0,0,0,0,1
"ENSMUSG00000077457",0,2,0,0,4,0
"ENSMUSG00000046417",8,6,6,18,11,12
"ENSMUSG00000085762",0,0,0,1,0,0
"ENSMUSG00000085170",0,1,0,0,0,0
"ENSMUSG00000048497",11,6,16,16,20,23
"ENSMUSG00000081852",1,0,0,0,0,0
"ENSMUSG00000005267",11,6,5,8,2,10
"ENSMUSG00000084020",115,82,108,104,112,118
"ENSMUSG00000072843",0,0,0,0,0,0
"ENSMUSG00000047342",0,1,3,2,0,1
"ENSMUSG00000085045",0,0,0,0,0,0
"ENSMUSG00000086674",0,0,0,0,0,0
"ENSMUSG00000064692",0,0,0,0,1,0
"ENSMUSG00000047821",3,4,5,5,5,13
"ENSMUSG00000090173",0,2,0,0,1,0
"ENSMUSG00000014177",758,448,592,580,535,611
"ENSMUSG00000086677",0,0,0,0,0,0
"ENSMUSG00000087039",0,0,0,0,0,0
"ENSMUSG00000042200",0,0,0,0,0,0
"ENSMUSG00000087604",0,0,0,0,0,0
"ENSMUSG00000042189",0,0,0,0,0,0
"ENSMUSG00000018217",75,73,77,91,94,91
"ENSMUSG00000085532",0,0,0,0,0,0
"ENSMUSG00000083052",0,0,2,0,1,1
"ENSMUSG00000081600",27,22,30,76,59,48
"ENSMUSG00000085113",0,0,0,0,1,2
"ENSMUSG00000082256",0,0,0,0,0,0
"ENSMUSG00000083142",0,0,0,0,0,0
"ENSMUSG00000081455",44,19,33,25,31,32
"ENSMUSG00000070407",1787,900,1597,1211,1384,1548
"ENSMUSG00000042148",243,129,207,184,217,165
"ENSMUSG00000086359",1,0,0,2,1,2
"ENSMUSG00000084884",0,0,0,0,0,1
"ENSMUSG00000087497",24,28,20,23,20,24
"ENSMUSG00000087622",0,0,0,0,0,0
"ENSMUSG00000053481",0,0,0,0,0,0
"ENSMUSG00000047759",34,18,27,40,27,41
"ENSMUSG00000080430",0,0,0,0,0,0
"ENSMUSG00000081756",7,8,8,3,8,4
"ENSMUSG00000086490",0,0,0,0,0,0
"ENSMUSG00000020549",680,353,513,471,563,496
"ENSMUSG00000033389",13,5,13,34,35,38
"ENSMUSG00000083935",0,1,2,1,1,1
"ENSMUSG00000076394",0,0,0,0,0,0
"ENSMUSG00000020548",0,0,0,0,0,0
"ENSMUSG00000082857",0,0,0,0,0,0
"ENSMUSG00000020542",0,1,0,0,1,1
"ENSMUSG00000085162",0,1,0,0,0,0
"ENSMUSG00000065104",0,0,0,0,0,0
"ENSMUSG00000033352",1087,611,978,812,808,894
"ENSMUSG00000076460",0,1,1,0,0,0
"ENSMUSG00000018347",79,43,72,75,79,67
"ENSMUSG00000056752",0,0,0,0,0,0
"ENSMUSG00000084967",0,0,0,0,0,0
"ENSMUSG00000088655",0,0,0,0,0,0
"ENSMUSG00000053930",1,1,0,2,0,0
"ENSMUSG00000080978",0,0,0,0,0,0
"ENSMUSG00000072834",0,0,0,0,0,0
"ENSMUSG00000048070",0,0,0,0,0,0
"ENSMUSG00000085683",0,0,0,0,0,0
"ENSMUSG00000085926",0,0,0,0,0,0
"ENSMUSG00000093263",0,0,0,0,0,0
"ENSMUSG00000050270",516,332,395,409,371,402
"ENSMUSG00000020910",430,331,372,389,390,389
"ENSMUSG00000069844",399,249,311,259,311,335
"ENSMUSG00000020908",0,0,0,0,0,0
"ENSMUSG00000087410",0,0,0,0,0,0
"ENSMUSG00000033196",0,0,0,0,0,0
"ENSMUSG00000078820",0,0,0,0,0,0
"ENSMUSG00000085479",0,0,0,0,0,0
"ENSMUSG00000056328",0,0,0,1,0,0
"ENSMUSG00000085348",0,0,0,0,0,0
"ENSMUSG00000057003",0,0,0,0,1,0
"ENSMUSG00000055775",0,0,0,0,0,0
"ENSMUSG00000060180",0,0,0,0,0,1
"ENSMUSG00000084567",0,0,0,0,0,0
"ENSMUSG00000033066",570,312,267,240,232,341
"ENSMUSG00000087058",0,0,0,0,0,0
"ENSMUSG00000049928",3,4,5,6,8,1
"ENSMUSG00000020907",0,0,0,0,0,0
"ENSMUSG00000070402",0,0,0,0,0,0
"ENSMUSG00000033044",0,0,0,0,0,0
"ENSMUSG00000020905",0,1,0,5,3,2
"ENSMUSG00000055134",0,0,1,0,0,0
"ENSMUSG00000020904",0,0,0,0,0,0
"ENSMUSG00000020903",366,274,290,313,328,325
"ENSMUSG00000082266",0,0,0,0,0,0
"ENSMUSG00000089599",0,0,0,0,0,0
"ENSMUSG00000083924",0,0,0,0,0,0
"ENSMUSG00000087242",1,0,0,1,0,1
"ENSMUSG00000020902",204,103,88,288,321,283
"ENSMUSG00000084993",0,0,0,0,0,0
"ENSMUSG00000093210",0,0,0,0,0,0
"ENSMUSG00000020901",39,25,26,52,45,24
"ENSMUSG00000046207",24,10,19,24,16,21
"ENSMUSG00000048329",0,1,0,0,2,0
"ENSMUSG00000085937",0,0,0,0,0,0
"ENSMUSG00000045915",0,0,0,1,0,0
